,Company,Job,Job Description,URL
10,Jobot,Controller,"The Senior Controller is responsible for maintaining the General Ledger and Financial Reports, closing the books on a monthly basis and performing account analysis.Provide information and reports to Management in a timely and accurate manner.Ensure compliance with Corporate policies and procedures.Responsible for the production of management reports, financial statements and other financial information.Review financial and statistical reports and balance sheets reconciliation ensuring completeness and accuracy.Review all monthly journal entries.Hire and supervise the Accounting Controllers and Managers.Responsible for ensuring compliance with all regulations and minimum internal control standards.",https://www.linkedin.com/jobs/search/?currentJobId=3523913930&geoId=103644278&keywords=financial%20controller&location=United%20States&refresh=true
11,NPAworldwide,Financial Accountant,"Major Bank is seeking a Financial Accountant to join the ABUS Lending team (Controllers Group) that focuses on the accounting and reporting of commercial loans for Asset Based Lending, Global Receivables Trade, Distribution Finance, and Commercial Auto businesses that are recorded in LUCAS, Choice, and AIMS system of records. The role interacts with loan servicing teams, operations accounting teams, relationship managers, the Credit Resolution group, and several other functional groups.Provide consultation to more experienced leadership for financial accounting related matters.Perform complex activities associated with maintaining ledger accounts, developing financial statements and regulatory reports.Review data from the general ledger, unit reports and various financial systems to ensure accuracy.Prepare and review account reconciliations, journal entries, financial reports, trial balances and certifications.Analyze projects relating to financial accounting procedures, methods, or systems.Perform ongoing financial control functions in accordance with internal controls policies.Provide functional advice and training to individuals.Provide support for compliance and risk management requirements.Collaborate and consult with stakeholders throughout the enterprise.",https://www.linkedin.com/jobs/search/?currentJobId=3528063651&geoId=103644278&keywords=financial%20controller&location=United%20States&refresh=true&start=25
12,Northwell Health,"Manager, Financial Operations","Manages, plans, organizes and evaluates the staff and activities of the Finance department. Oversees the day-to-day general accounting and financial activities.Provides leadership to Financial Operations team members and supervisors by communicating and guiding toward achieving department objectives.Develops, communicates, and builds consensus for goals in alignment with the health system.Manages and monitors day-to-day Finance operations, including but not limited to, financial reporting, budget, accounting records, grant operations, general ledger, taxes, data reporting, and quality control and ensures compliance with regulatory requirements.Evaluates and implements policies, procedures, techniques and protocols.Investigates technical problems and initiates corrective action.Ensures records are prepared and updated according to established policies and procedures.Prepares various financial and account analysis including general ledger accounts.Selects, develops, manages and evaluates direct reports; ensures performance appraisals are completed in a timely manner.Manages resources including operating budget, supplies, equipment, space, staff and information; recommends, implements and evaluates the approved operating budget.Maintains records and reports on performance, and recommends corrective action or justifies variances.Builds and maintains productive intra-departmental work relationships to optimize operations.Performs related duties as required. All responsibilities noted here are considered essential functions of the job under the Americans with Disabilities Act. Duties not mentioned here, but considered related are not essential functions.",https://www.linkedin.com/jobs/search/?currentJobId=3531394849&geoId=103644278&keywords=financial%20manager&location=United%20States&refresh=true
13,PulteGroup,Senior Accountant,Prepares monthly journal entries.Assists with the preparation of monthly financial reports and cash flow projections.Verifies accuracy of journal entries and accounting classifications within the financial statements.Coordinates accounting matters with other departments within the division.Coordinates work efforts with National Shared Services.Prepares supporting documentation for the Division's SOX binders.,"Primary responsibility for preparing journal entries, various accounting reports and reconciliations in key financial statement categories."
14,"Spindrift Beverage Co, Inc.",Accounting Manager,"The Accounting Manager is expected to be familiar with generally accepted accounting principles (US-GAAP). The Accounting Manager must have the ability to apply accounting principles across multiple reporting systems to understand how processes and data can be captured and analyzed. They will work closely with the Assistant Controller in a fast-growing company to ensure the quality and integrity of financial reporting.Oversees all operational accounting processes including Accounts Payable, Accounts Receivable, Inventory and Fixed Assets. Review process execution to ensure it aligns with accounting policy and complies with US GAAP.Assist with the monthly close process in partnership with the Assistant Controller.Overall responsibility for balance sheet account reconciliation including bank accounts. Maintain prepaid accounts scheduling as needed.Oversee trade spend by approving month end accruals, ensuring that the trade system ERP is in alignment with our general ledger ERP, etc.Vet, verify, and set up new vendorsSupport the Controller and Assistant Controller during annual external financial audit and bank field exam process, coordinating with external auditors on testing & procedures.Continuously develop, support and improve systems, policies and procedures necessary to drive efficiency and meaningful financial data in a high-growth business environment.Staffing responsibilities include planning, assigning, and directing work; assessing and providing regular employee feedback to team members throughout the department. Supervise staff.",https://www.linkedin.com/jobs/search/?currentJobId=3529448341&geoId=103644278&keywords=financial%20controller&location=United%20States&refresh=true&start=25
15,U.S. Bank,Assistant Controller,"The Assistant Controller supports the Corporate Controller in managing the accounting operations and financial reporting of the Company through functional, technical, and process leadership across complex or ambiguous activities involving accounting and financial reporting. This entails overseeing the Company’s corporate accounting, internal and external regulatory financial reporting, while liaising with groups managing firm-wide internal control programs supporting enterprise risk management, including data management. Responsibilities include external and internal accounting and financial reporting direction, regulatory and audit facilitation, business line consultation with respect to financial reporting including internal control over financial reporting, specifically addressing data management and operational business processes.Synchronize internal and external financial reporting, maintaining consistency in reporting.Synthesize regulatory change impact assessments to recommend actions and alternatives.Evaluate the impact of business change through product, process or control change(s) to recommend actions and alternatives.Bridge issue identification and resolution.Maintain a documented system of accounting policies and procedures.Support the coordination of the external audit firm’s activities.Facilitate regulatory and internal audit activities.Coordinate with the accounting policy and accounting operations across the organization.Complete self-assessments of business processes for the purpose of determining whether design and performance meets objectives and is consistent with expected standards.Consults with business partners on process changes ensuring that design achieves expected standards.Performs other duties as needed.",https://www.linkedin.com/jobs/search/?currentJobId=3527822724&geoId=103644278&keywords=financial%20manager&location=United%20States&refresh=true
16,Amazon,HR Business Partner,"Handles daily inquiries from associates and managers either remotely or directly.Supports managers and associates to be able to contribute to the organization for a long time by implementing programs and improving existing processes.Identifies real problems and provides the right solution with speed and flexibility while considering complianceDiscovers organizational issues with data and makes data-driven recommendations to business leadersPrepare and facilitate HR related meetings with business leadersCollaborate with other teams within HR and promote and deploy key initiativesAddress the ambiguous and fast-paced issues that arise each time as a strategic and hands-on HR partnerCreate a positive working environment that is comfortable to work in through collaboration with a wide range of stakeholders, including legal, employee relations, finance, and internal and external stakeholders, as well as business teams and other HR teams.",https://www.linkedin.com/jobs/search/?currentJobId=3510040983&geoId=91000004&keywords=HR&location=APJ&refresh=true&start=50
17,HP,HR Business Partner,Establishes and maintains relationships with key business or functional leaders. Uses deep business or function knowledge to execute a wide spectrum of HR global programs.Engages in strategic business planning where there is HR impact in order to ensure successful implementation and regular tracking of HR programs and processes.Communicates and guides the implementation of global HR programs and works to ensure alignment of the programs with priorities and goals of the business or function.Delivers HR programs within the business or function. Conducts the quantitative and qualitative analyses of financial and workforce data to support these activities.Represents the needs of the business or function on an ongoing basis to maintain consistent plans between HR and the business or function.Partners with HR leaders on priority projects that support organization- wide transformation initiatives.Escalates complex issues to HR management.,https://www.linkedin.com/jobs/search/?currentJobId=3520730422&geoId=91000004&keywords=HR&location=APJ&refresh=true
18,Mastercard,"Manager, People Business Partner","Responsible for the management and delivery of core People and Capability (P&C) programs, including talent and performance management, learning, year-end compensation planning, and workforce planning.Coach managers and employees on development, employee relations and reward issues.Partner with management to ensure a successful performance management process and a successful change management delivery.Serves as subject matter expert on the local labor market and regulatory environment.Oversee the delivery of HR projects and programs and monitors progress against timelines and budgets.Deliver communication for talent planning, compensation planning and change-management processes.Responsible for planning and implementing leadership development, performance management, rewards and change management initiatives.Participate in the day-to-day delivery of local HR projects and serves as the first point of contact for all regional HR inquiries related to the supported business units.Shares local intelligence and provides a “field perspective” on the effectiveness of programs and initiatives.Oversee data collection and reporting to apply quantitative and qualitative data to HR process improvement and development.",https://www.linkedin.com/jobs/search/?currentJobId=3517140227&geoId=91000004&keywords=HR&location=APJ&refresh=true&start=50
19,Prada Group,HR L&D Specialist,"Manages the relation with HQ L&D and Retail Stores to collect, evaluate and prepare a shared calendar of the learning programs for Stores and Head Office based on global and local projects.Manage the training team of the Region/Country with an accurate project mgmt. approach, sharing calendars, timing, programs, evaluation, etc.Assesses both organizational and individual learning and development needs for proposing and preparing L&D programs, activities and material.Creates, designs, and executes learning strategies and programs both in-house and with expert third parties.Collaborates with internal Department to guarantee consistency in covering needs and relative learning projects.Deliver trainings including on-boarding, managerial, behavioral, and technical contents for all professional families of the Country, Stores and Others.Evaluates the effectiveness of L&D programs through KPIs.Manages budget and costs.Coordinates and monitors different stages of the Annual Performance Management Program .Prepares and delivers specific developmental initiatives to support internal growths, career paths according to the Performance Management results.Assesses the success of development plans and help employees make the most of learning opportunities.Works effectively with LMS Digital Platform.",https://www.linkedin.com/jobs/search/?currentJobId=3528387857&geoId=91000004&keywords=HR&location=APJ&refresh=true&start=25
20,ServiceNow,People Partner Manager,"Coach managers through performance management situations and provide guidance on best practices.Partner with HR Business Partners to assist with driving and executing initiatives aligned to the BU or Regional Strategy.Act as an organizer between the HRBPs and global COEs (centers of excellence) to ensure that HR programs are aligned with internal client needs.Provide HR policy, process and/or program advice and coaching to employees and managers, when appropriate.Deliver on specific projects as determined in the annual HR operational plan and coordinate across the global HRBP team to deliver business and HR initiatives such as organization reviews; performance management process; compensation planning cycle; talent review and succession planning processes; and workforce restructurings, when applicable.Complete ad-hoc projects, reporting and tasks as required with cross-functional HR / Partner teams, working on or leading projects/programs.Partner with Employee Relations and Global Employment Law group to drive consistent performance management and design initiatives.Partner with COEs and Ops to assist in delivering HR programs and policies in functionally and regionally relevant ways.Assist in driving communication and sharing of best practices across the People Partner team to facilitate continuous improvement.Looking at greater process improvements with current Global People processes in place i.e. extensions of building out living documentation related to Global People philosophies for sustainability/scale purposes.Act as a culture champion, regionally and functionally, working with leaders to drive high-levels of engagement.Be an expert in local legislation and policy interpretation, partnering with Employee Relations to ensure compliance.Collaborate with HRBPs to execute on strategic workforce planning,Calibration and succession planning.Organization design, change management, and culture,Leadership and team development,Relevant workforce trends which will impact the BU",https://www.linkedin.com/jobs/search/?currentJobId=3528162537&geoId=91000004&keywords=HR&location=APJ&refresh=true&start=25
21,"Bob Evans Restaurants, LLC ",General Manager,"The position of General Manager is a fast-paced role that manages the daily operations and staff of the restaurant, including the execution of all Company policies, procedures, programs, and systems. The General Manager provides leadership, direction, training, and development to all direct reports. This role also contributes to the success of the restaurant by building sales, hitting goals, as well as driving restaurant profitability. Decisions are guided by established policies/procedures and the Director of Operations.Management responsibilities in accordance with the Company's policies and applicable laws.Responsibilities include recruiting, interviewing, hiring, and training employees; planning, assigning, and directing work; appraising performance; rewarding and disciplining employees including termination of employees; addressing complaints and resolving problems.Shapes culture of restaurant and works diligently to ensure a high level of employee engagement in the restaurant.Coach and mentor team members to ensure employee's success on the job and guest satisfaction.Model professional behavior while creating a warm, friendly, and hospitable atmosphere that encourages people to do their BEST.Communicate sales performance and anticipated variances to the restaurant management team. Cascade corporate programs and initiatives to the management team and staff.Occasionally assist team members with category job duties as needed.Champion sales building activities and suggestive selling.Maximize table turnover, sales per guest, and sales per hour.Meet and greet guests; investigate and resolve food quality/service issues and satisfying the guest 100%.Maintain efficient operations, appropriate cost controls, and profit management.Ensure OSHA, local health and safety codes, and company safety and security policies are met.Enforce safe work behaviors to maintain a safe environment for both guests and crew members.Monitor daily activities to ensure quality food and cleanliness standards.Control day-to-day operations - following cash control/security procedures, maintaining inventory, managing food and labor, reviewing financial reports and schedules, and taking appropriate actions.P&L management - Manage food cost, labor cost, carryout cost and other controllable items.Control food costs by following recipes and portion control; as well as being responsible for weekly inventory process.Manage labor costs by optimizing weekly schedules of employees, managers and key supervisors and monitoring daily schedules and sales performance through effective use of the company's labor scheduling tool.Ensure proper use of restaurant equipment.Responsible for maintaining facility and all company assets.All other duties as assigned.",https://www.linkedin.com/jobs/search/?currentJobId=3525647334&distance=25&geoId=103644278&keywords=restaurant%20manager&start=25
22,Carrols Corporation,Restaurant General Manager,"Frequent contact, both inside and outside the restaurant, with the general public, business, and various community organizations in order to develop and improve the restaurant's public relations.Communicate with outside purveyors concerning the delivery of quality supplies and repairs to restaurant equipment.Occasional communication with Home Office personnel concerning public policy and procedures relevant to the restaurant's operation.Maintain staffing levels (hiring employees and/or scheduling work hours) through effective planning, which will assure the efficient operation of the restaurant in accordance with company policy and the respective state and federal labor laws.Supervise subordinate staff to assure that customers are treated promptly and courteously; products are of specified quality and quantity; equipment is maintained properly; sanitation standards are complied with, and the restaurant is maintained in a neat and attractive manner.Utilize all company training tools to provide crew employees with on-the-job training in all aspects of restaurant operation.Implement and execute appropriate restaurant level financial controls (petty cash, profit and loss statements, daily deposits, WebCEMS, payroll, NOI reports, budget book, EOD reports, etc.) to assure proper accountability of company funds.Implement appropriate restaurant level financial controls to assure that supplies are ordered as needed; materials received are of good quality and in the proper quantity and that proper accountability for supplies is maintained.Receive and resolve customer complaints in a tactful manner in order to maintain customer satisfaction.Appraise performance of subordinates to assure that job performance is appropriately recognized.Prepare projections of future sales and expenses in order to establish realistic yet challenging profit objectives.Exercise sound managerial judgment and decision-making pertaining to all employee relations and personnel actions (i.e., timely performance evaluations, grievance handling, disciplinary actions, employee counseling, etc.) in order to develop attitudes of cooperation, enthusiasm and professionalism.Complete, approve, submit and maintain files on all internal records and reports as required by law and company policy.Train and develop the capabilities of Assistant Managers and Manager Trainees in the areas of management skills and technical knowledge in order to provide for growth.Maintain a safe work environment for all employees and customers.Other duties as assigned.",https://www.linkedin.com/jobs/search/?currentJobId=3522480923&distance=25&geoId=103644278&keywords=restaurant%20manager&start=150
23,Chili's,Restaurant General Manager,"Lead and direct the work of the Management team including scheduling, assigning responsibilities and setting expectations.Manage performance of the Management team, including performance evaluations, coaching and accountability.Plan and implement weekly, monthly and yearly financial budgets.Oversee all operations to ensure a great Guest experience.Role model and hold Team Members accountable to operational and quality standards.Foster open communication between Team Members and Management team.Influence Team Member behaviors by championing change and restaurant initiatives.Drive business results by utilizing Chili's systems to effectively control costs.Follow operational systems, such as our Manager Timeline and performing quality Line Checks.Hire, train, retain, and develop Team Members to take on larger roles.Drive Guest engagement within the four walls of the restaurant while developing relationships within the community.Understand and practice safe food handling procedures.Communicate and embody Chili's culture and Cultural Beliefs: Every Guest Counts, Food Perfection, Be Accountable and Play Restaurant.",https://www.linkedin.com/jobs/search/?currentJobId=3521401038&distance=25&geoId=103644278&keywords=restaurant
24,Noodles & Company,Restaurant General Manager,"Partner with your management team to lead a high performing team.Run the restaurant with confidence, deliver fast and effective solutions.Lead with integrity and live the culture of Noodles & Company every day.Recognize your team members through positive and respectful leadership for a job well-done.Deliver an uncommonly good guest experience and make them feel like family.Continually review restaurant operations to identify any issues, concerns, and opportunities for improvement.Follow Noodles & Company's operational policy and procedures.Hire, train and retain restaurant team members and shift managers.Assess team member performance, deliver actionable and timely feedback.Keep your restaurant staffed with outstanding Noodlers and facilitate the internal development of your team to foster future leaders.Follow inventory control procedures and guidelines.Own scheduling, expense tracking, labor management, and local restaurant marketing.Lead with a culture of food safety that exceeds company standards in food quality, food safety practices, and cleanliness.",https://www.linkedin.com/jobs/search/?currentJobId=3525618200&distance=25&geoId=103644278&keywords=restaurant%20manager
25,Real Hospitality Group,General Manager,"Provide the Revenue Management Department with information that includes a market analysis of competitors' rates by market segment for weekday and weekend, and a forecast of local market conditions and special events that may impact occupancy and/or rate.Support sales efforts as directed by the Vice President and the Corporate Sales staff.Ensure that sales, front office, and reservation staffs are kept informed of rate structure and know how to implement yield management policies and procedures. Train front desk staff to successfully perform all front office operations, and revenue management and central reservations procedures. Train front desk staff to successfully perform selling techniques and procedures for current promotions.Use assigned franchise revenue management system (i.e. MARSHA, OnQ, Opera, IHOTELIER, MARC) to achieve maximum revenue.Be able to produce the annual budget by forecasting changes in operating expenses and labor cost.Use business forecasts to manage costs by scheduling labor in accordance with staffing guidelines, control other expenses in accordance with business demand levels, and control utility expenses in accordance with energy management and building operations standards.Based on forecasted monthly revenue, adjust controllable expenses to maintain profit margins and achieve planned monthly GOP and NOI (EBIDTA). Explain the causes for budget variances of controllable expenses, take corrective action to avoid future occurrences and adjust spending to eliminate variances.Protect the Company's financial assets by properly administering company policies and procedures for handling cash, credit card, accounts payable, accounts receivable, payroll and all other financial transactions. Also, properly administer company policies and procedures for protecting the safety of guests and associates.Receive satisfactory scores for internal audits and take action to correct any deficiencies.Execute company policies and procedures for purchasing.Train staff to successfully perform guest service procedures in accordance with company standards (e.g., greeting, scripts, pre-assignment of rooms, etc.).Train staff to successfully perform all functions for guest service and for handling upset guest who are dissatisfied with the products and services they received. Directly handle difficult situations involving upset guests. Attempt to resolve all issues of poor guest service before guests leave the property. Directly respond to guest complaint letters and comment cards in accordance with company standards.Manage the 100% guarantee process (if applicable) in accordance with standards and eliminate service issues that result in repeated invocations of the guarantee.Manage the franchise frequent guest program (guest rewards program) in accordance with franchise/company policies and procedures.Receive satisfactory scores from franchise or independent satisfaction surveys, (OSAT, GSS, GEI, SALT, Medallia) and RHG's mystery shopper program, and take action to correct any deficiencies.Recruit, select, train, motivate and manage associates to deliver guest services and quality products that will lead to achieving goals for revenue and profit.Properly administer company policies and procedures for human resources management, payroll administration, personnel transactions, and fair treatment of associates. Conduct wage surveys to provide input to annual budget and to ensure that the hotel is offering competitive wages.When assigned potential management candidates and trainees, train and develop these candidates in accordance with Human Resources programs and guidelines.Provide leadership by conducting business in a professional manner and in accordance with all company policies including standards of conduct, business ethics and conflicts of interest.Receive satisfactory scores for associate satisfaction surveys and take corrective action to correct any deficiencies. Maintain acceptable levels of associate turnover.Ensure a satisfactory guest experience and protect the Company's physical assets by maintaining the physical condition of the hotel in accordance with established quality control standards.Provide input to the annual capital budget (CAPEX), then manage the implementation within company guidelines and fiscal parameters of owner approved plan and budget. All CAPEX plans must consider franchise standard compliance, safety and security for guests and associates, projects providing profitable returns on investment.Manage the preventative maintenance and quick fix programs in accordance with company standards.Receive satisfactory scores for product quality as measured by franchise or independent inspection results and mystery shopper program and take action to correct any deficiencies.",https://www.linkedin.com/jobs/search/?currentJobId=3531448656&distance=25&geoId=103644278&keywords=restaurant%20manager&start=100
